theta1,theta2,x,y,I,time
0.0,0.0,0.0,0.0,0.0,9.999999974752427e-07
0.3707067172580016,0.41432777079073235,0.048742860555648804,-0.00270843505859375,0.0,0.010979999788105488
2.0716185745796327,2.0716185745796327,0.257253959774971,0.0,0.0,0.02196200005710125
4.721099112079319,4.66660351421519,0.582883283495903,0.003383636474609375,0.0,0.032993998378515244
7.883042791188779,7.664998961628693,0.9653792828321457,0.013538360595703125,0.0,0.043838001787662506
11.68828757328404,11.208548141579351,1.4216665476560593,0.029787063598632812,0.0,0.05487100034952164
16.180425712786782,15.406305607839728,1.9612229317426682,0.048065185546875,0.0,0.06587699800729752
21.152315763609,20.149215846666895,2.5644157379865646,0.062282562255859375,0.0,0.0768750011920929
26.50580747539094,25.24104267535602,3.212966486811638,0.07852935791015625,0.0,0.08771300315856934
32.1754999868853,30.758092218537602,3.9075522869825363,0.08800697326660156,0.0,0.09870400279760361
38.15048227488668,36.3841675163807,4.627862975001335,0.10967063903808594,0.0,0.1097090020775795
44.48528449619246,42.45727413554189,5.398271128535271,0.12591934204101562,0.0,0.12088599801063538
51.05993723394323,48.61761902188706,6.1889882534742355,0.1516437530517578,0.0,0.13187099993228912
57.81995640991926,55.06144699785436,7.008816286921501,0.17127609252929688,0.0,0.14282600581645966
64.75442524109296,61.64700883886978,7.848276183009148,0.19293975830078125,0.0,0.15383000671863556
71.68889407226666,68.26528647003475,8.68976740539074,0.2125720977783203,0.0,0.16467900574207306
78.86324413893712,75.0471084930142,9.5563073605299,0.23694419860839844,0.0,0.17570100724697113
86.0702869564683,82.0252022176021,10.437063738703728,0.25115966796875,0.0,0.18676799535751343
93.45179094884155,89.04689395643389,11.331359431147575,0.2735004425048828,0.0,0.19779600203037262
100.98593790952758,96.27575498049438,12.247995898127556,0.29245567321777344,0.0,0.2089730054140091
108.50918728659337,103.42828684063554,13.159216448664665,0.3154735565185547,0.0,0.21996299922466278
116.02153140027599,110.59172396415987,14.070436999201775,0.33713722229003906,0.0,0.23096199333667755
123.5992917347318,117.86419836199013,14.992489382624626,0.3560924530029297,0.0,0.24196599423885345
131.2642788167272,125.02763548551447,15.91318754851818,0.3872337341308594,0.0,0.2528209984302521
139.01649264626215,132.44184758827433,16.85487227141857,0.4082202911376953,0.0,0.2637769877910614
146.81232752932982,139.85605969103418,17.799265429377556,0.431915283203125,0.0,0.27474701404571533
154.5536360954816,147.2920823205604,18.741627261042595,0.4508705139160156,0.0,0.2855930030345917
162.70926787256485,155.04428079056947,19.729345843195915,0.4759197235107422,0.0,0.29695001244544983
170.58142423978893,162.58934069440164,20.686602160334587,0.4962291717529297,0.0,0.3078939914703369
178.49718630101984,170.2652483993061,21.654690310359,0.5111217498779297,0.0,0.3189220130443573
186.36934266824392,177.87570916438557,22.61600737273693,0.5273704528808594,0.0,0.3297420144081116
194.32871042348168,185.61703309006322,23.590864703059196,0.5409088134765625,0.0,0.3407210111618042
202.2335672213294,193.31472060268226,24.559628054499626,0.55377197265625,0.0,0.35170799493789673
210.1602345459435,200.92519672728764,25.524330660700798,0.5734043121337891,0.0,0.36269301176071167
218.18503388148034,208.76463730436217,26.509342715144157,0.5849132537841797,0.0,0.37386900186538696
226.07898541594489,216.4623248169812,27.47742895781994,0.5970993041992188,0.0,0.3848339915275574
234.03836853070854,224.0509904148202,28.44280867278576,0.6201171875,0.0,0.3957740068435669
241.9868310225631,231.7705038137315,29.41563467681408,0.6343326568603516,0.0,0.40675899386405945
249.98983519085948,239.54452817003283,30.395231768488884,0.6485500335693359,0.0,0.4178810119628906
257.9601082094804,247.30763190342506,31.372118517756462,0.6614131927490234,0.0,0.4289039969444275
265.91949132424406,254.96172908156316,32.34156088531017,0.6803684234619141,0.0,0.43982499837875366
273.8679691756245,262.6703218575654,33.313709780573845,0.6952629089355469,0.0,0.4507800042629242
281.9363588456423,270.455236117724,34.29804281890392,0.7128639221191406,0.0,0.4619379937648773
289.9938586118028,278.28378679094124,35.28440909087658,0.7270793914794922,0.0,0.47297900915145874
298.08407416811286,286.1559277986394,36.27551321685314,0.7406196594238281,0.0,0.4839949905872345
305.99983622934377,293.7554986598616,37.23886160552502,0.7602519989013672,0.0,0.4948579967021942
